,,,,,,,,,,,
,Country,,Ukraine,,CDT group,,,,,,
,City,,Vinnytsia,,Group 3,,,,,,
,Tier,,Tier 5,,,,,,,,
,,,,,,,,,,,
,Current / Proposed Delivery radius,,9,,,Settings,,,,,
,,,,,,,,,,,
,,,Setting,Last Updated,Current value,Proposed Settings,"Expected action
(vs Current Settings)",Bad Weather Settings,"Expected action
(vs Normal Settings)",Harsh Weather Settings,"Expected action
(vs Normal Settings)"
,,,,,,,,,,,
,Batching,batching/food/is_enabled,is_enabled,14-Dec-23,1,1,No adjustment needed,1,No adjustment needed,1,No adjustment needed
,,batching/food/max_batch_size,max_batch_size,14-Dec-23,2,2,No adjustment needed,2,No adjustment needed,2,No adjustment needed
,,batching/food/min_delay_seconds,min_delay_seconds,08-Apr-26,480,300,Update,300,No adjustment needed,300,No adjustment needed
,,batching/food/max_delay_seconds,max_delay_seconds,08-Apr-26,1020,840,Update,840,No adjustment needed,840,No adjustment needed
,,batching/food/max_delay_time_in_the_bag_seconds,max_delay_time_in_the_bag_seconds,08-Apr-26,960,750,Update,750,No adjustment needed,750,No adjustment needed
,,batching/food/max_wait_time_between_orders_at_same_provider_seconds,max_wait_time_between_orders_at_same_provider_seconds,08-Apr-26,960,750,Update,750,No adjustment needed,750,No adjustment needed
,,batching/food/is_enabled_for_cash,is_enabled_for_cash,14-Dec-23,1,1,No adjustment needed,1,No adjustment needed,1,No adjustment needed
,,batching/food/min_delay_ratio_value,min_delay_ratio_value,08-Apr-26,0.5,0.6,Update,0.6,No adjustment needed,0.5,Update for bad weather
,,batching/food/max_delay_ratio_value,max_delay_ratio_value,13-Feb-26,1.2,1.2,No adjustment needed,1.2,No adjustment needed,1.2,No adjustment needed
,,batching/food/min_distance_gain_percentage,min_distance_gain_percentage,14-Dec-23,10,10,No adjustment needed,10,No adjustment needed,10,No adjustment needed
,,batching/food/batch_only_same_provider,batch_only_same_provider,14-Dec-23,FALSE,FALSE,No adjustment needed,FALSE,No adjustment needed,FALSE,No adjustment needed
,,batching/disable_second_batched_order_auto_acceptance,disable_second_batched_order_auto_acceptance,07-Apr-26,FALSE,FALSE,No adjustment needed,FALSE,No adjustment needed,FALSE,No adjustment needed
,,,,,,,,,,,
,Per provider closing,availability/per_provider_closing/dry_computation,dry_computation,03-Sep-24,TRUE,TRUE,No adjustment needed,TRUE,No adjustment needed,TRUE,No adjustment needed
,,availability/per_provider_closing/use_in_search,use_in_search,03-Sep-24,TRUE,TRUE,No adjustment needed,TRUE,No adjustment needed,TRUE,No adjustment needed
,,availability/per_provider_closing/time_to_complete_basket_seconds,time_to_complete_basket_seconds,NA,default - 360,default - 360,No adjustment needed,default - 360,No adjustment needed,default - 360,No adjustment needed
,,availability/per_provider_closing/needed_couriers,needed_couriers,08-Apr-26,0.9,0.7,Update,0.7,No adjustment needed,0.9,Update for bad weather
,,availability/per_provider_closing/max_allowed_courier_delay_seconds,max_allowed_courier_delay_seconds,15-Feb-26,900,900,No adjustment needed,900,No adjustment needed,900,No adjustment needed
,,availability/per_provider_closing/min_flight_distance_in_km/car,min_flight_distance_in_km - car,10-Nov-23,3,3,No adjustment needed,3,No adjustment needed,3,No adjustment needed
,,availability/per_provider_closing/min_flight_distance_in_km/motorbike,min_flight_distance_in_km - motorbike,29-Jun-22,2,2,No adjustment needed,2,No adjustment needed,2,No adjustment needed
,,availability/per_provider_closing/min_flight_distance_in_km/scooter,min_flight_distance_in_km - scooter,NA,default - 1,default - 1,No adjustment needed,default - 1,No adjustment needed,default - 1,No adjustment needed
,,availability/per_provider_closing/min_flight_distance_in_km/bicycle,min_flight_distance_in_km - bicycle,29-Jun-22,1,1,No adjustment needed,1,No adjustment needed,1,No adjustment needed
,,availability/per_provider_closing/min_flight_distance_in_km/pedestrian,min_flight_distance_in_km - pedestrian,27-Sep-24,1,1,No adjustment needed,1,No adjustment needed,1,No adjustment needed
,,availability/per_provider_closing/max_flight_distance_in_km/car,max_flight_distance_in_km - car,06-Oct-25,6,6,No adjustment needed,6,No adjustment needed,6,No adjustment needed
,,availability/per_provider_closing/max_flight_distance_in_km/motorbike,max_flight_distance_in_km - motorbike,06-Oct-25,6,6,No adjustment needed,6,No adjustment needed,6,No adjustment needed
,,availability/per_provider_closing/max_flight_distance_in_km/scooter,max_flight_distance_in_km - scooter,NA,default - 3,default - 3,No adjustment needed,default - 3,No adjustment needed,default - 3,No adjustment needed
,,availability/per_provider_closing/max_flight_distance_in_km/bicycle,max_flight_distance_in_km - bicycle,11-Oct-24,4,4,No adjustment needed,4,No adjustment needed,4,No adjustment needed
,,availability/per_provider_closing/max_flight_distance_in_km/pedestrian,max_flight_distance_in_km - pedestrian,27-Sep-24,2,2,No adjustment needed,2,No adjustment needed,2,No adjustment needed
,,availability/per_provider_closing/is_future_orders_verification_enabled,is_future_orders_verification_enabled,07-Apr-26,FALSE,FALSE,No adjustment needed,FALSE,No adjustment needed,FALSE,No adjustment needed
,,availability/per_provider_closing/provider_to_eater_distance_km,provider_to_eater_distance_km,NA,default - 0,default - 0,No adjustment needed,default - 0,No adjustment needed,default - 0,No adjustment needed
,,,,,,,,,,,
,Courier surge,dynamic_multiplier/courier_earning/is_enabled,is_enabled,08-Jan-26,FALSE,TRUE,Update,TRUE,No adjustment needed,TRUE,No adjustment needed
,,dynamic_multiplier/courier_earning/is_generation_enabled,is_generation_enabled,08-Jan-26,FALSE,TRUE,Update,TRUE,No adjustment needed,TRUE,No adjustment needed
,,dynamic_multiplier/courier_earning/min_busy_ratio,min_busy_ratio,08-Apr-26,1.3,1.4,Update,1.4,No adjustment needed,1.3,Update for bad weather
,,dynamic_multiplier/courier_earning/max_busy_ratio,max_busy_ratio,08-Apr-26,1.4,1.6,Update,1.6,No adjustment needed,1.4,Update for bad weather
,,dynamic_multiplier/courier_earning/min_multiplier,min_multiplier,07-Apr-26,1.05,1.05,No adjustment needed,1.05,No adjustment needed,1.05,No adjustment needed
,,dynamic_multiplier/courier_earning/max_multiplier,max_multiplier,07-Apr-26,1.1,1.1,No adjustment needed,1.1,No adjustment needed,1.1,No adjustment needed
,,dynamic_multiplier/courier_earning/strategy_type,strategy_type,10-Nov-23,current_busy_ratio,current_busy_ratio,No adjustment needed,current_busy_ratio,No adjustment needed,current_busy_ratio,No adjustment needed
,,dynamic_multiplier/courier_earning/continuous_generation,continuous_generation,NA,default - N/A,default - N/A,No adjustment needed,default - N/A,No adjustment needed,default - N/A,No adjustment needed
,,dynamic_multiplier/courier_earning/interval_size_units,interval_size_units,NA,default - N/A,default - N/A,No adjustment needed,default - N/A,No adjustment needed,default - N/A,No adjustment needed
,,dynamic_multiplier/courier_earning/average_busy_ratio_window_minutes,average_busy_ratio_window_minutes,NA,default - N/A,default - N/A,No adjustment needed,default - N/A,No adjustment needed,default - N/A,No adjustment needed
,,,,,,,,,,,
,Notification settings,dynamic_multiplier/courier_earning/notification_settings/is_enabled,is_enabled,24-Feb-26,FALSE,TRUE,Update,TRUE,No adjustment needed,TRUE,No adjustment needed
,,dynamic_multiplier/courier_earning/notification_settings/courier_perc,courier_perc,11-Oct-24,1,1,No adjustment needed,1,No adjustment needed,1,No adjustment needed
,,dynamic_multiplier/courier_earning/notification_settings/minimum_notification_window_seconds,minimum_notification_window_seconds,08-Apr-26,900,1800,Update,900,Update for bad weather,900,Update for bad weather
,,dynamic_multiplier/courier_earning/notification_settings/minimum_surge_window_seconds,minimum_surge_window_seconds,10-Nov-23,180,180,No adjustment needed,180,No adjustment needed,180,No adjustment needed
,,dynamic_multiplier/courier_earning/notification_settings/notification_period_start_minutes_from_midnight,notification_period_start_minutes_from_midnight,06-Oct-25,540,540,No adjustment needed,540,No adjustment needed,540,No adjustment needed
,,dynamic_multiplier/courier_earning/notification_settings/notification_period_end_minutes_from_midnight,notification_period_end_minutes_from_midnight,06-Oct-25,1320,1320,No adjustment needed,1320,No adjustment needed,1320,No adjustment needed
,,dynamic_multiplier/courier_earning/notification_settings/upper_threshold,upper_threshold,06-Oct-25,1.1,1.1,No adjustment needed,1.1,No adjustment needed,1.1,No adjustment needed
,,,,,,,,,,,
,Shrinkage,availability/radius_shrinkage/ratio_where_radius_is_maximum,ratio_where_radius_is_maximum,08-Apr-26,1.1,1.2,Update,1.20,No adjustment needed,1.10,Update for bad weather
,,availability/radius_shrinkage/ratio_where_radius_is_minimum,ratio_where_radius_is_minimum,08-Apr-26,2,2.2,Update,2.1,Update for bad weather,2,Update for bad weather
,,availability/radius_shrinkage/use_orders_per_distance_histogram,use_orders_per_distance_histogram,15-Oct-24,FALSE,FALSE,No adjustment needed,FALSE,No adjustment needed,FALSE,No adjustment needed
,,availability/radius_shrinkage/orders_per_distance_histogram_type,orders_per_distance_histogram_type,06-Dec-22,route_distance,route_distance,No adjustment needed,route_distance,No adjustment needed,route_distance,No adjustment needed
,,,,,,,,,,,
,Eater surge,dynamic_multiplier/delivery_fee/is_enabled,is_enabled,19-Dec-23,TRUE,TRUE,No adjustment needed,TRUE,No adjustment needed,TRUE,No adjustment needed
,,dynamic_multiplier/delivery_fee/is_generation_enabled,is_generation_enabled,10-Nov-23,TRUE,TRUE,No adjustment needed,TRUE,No adjustment needed,TRUE,No adjustment needed
,,dynamic_multiplier/delivery_fee/min_busy_ratio,min_busy_ratio,08-Apr-26,1.1,1.2,Update,1,Update for bad weather,1,Update for bad weather
,,dynamic_multiplier/delivery_fee/max_busy_ratio,max_busy_ratio,08-Apr-26,2,2.2,Update,2,Update for bad weather,1.9,Update for bad weather
,,dynamic_multiplier/delivery_fee/min_multiplier,min_multiplier,15-Feb-26,1.1,1.1,No adjustment needed,1.4,Update for bad weather,1.3,Update for bad weather
,,dynamic_multiplier/delivery_fee/max_multiplier,max_multiplier,08-Apr-26,2.4,2.2,Update,2.4,Update for bad weather,2.4,Update for bad weather
,,dynamic_multiplier/delivery_fee/strategy_type,strategy_type,10-Nov-23,current_busy_ratio,current_busy_ratio,No adjustment needed,current_busy_ratio,No adjustment needed,current_busy_ratio,No adjustment needed
,,dynamic_multiplier/delivery_fee/interval_size_units,interval_size_units,NA,default - N/A,default - N/A,No adjustment needed,default - N/A,No adjustment needed,default - N/A,No adjustment needed
,,dynamic_multiplier/delivery_fee/average_busy_ratio_window_minutes,average_busy_ratio_window_minutes,NA,default - N/A,default - N/A,No adjustment needed,default - N/A,No adjustment needed,default - N/A,No adjustment needed
,,dynamic_multiplier/delivery_fee/abtest_type,abtest_type,10-Nov-23,regular,regular,No adjustment needed,regular,No adjustment needed,regular,No adjustment needed
,,dynamic_multiplier/delivery_fee/is_surcharge_applicable_only,is_surcharge_applicable_only,08-Apr-26,FALSE,TRUE,Update,TRUE,No adjustment needed,FALSE,Update for bad weather
,,dynamic_multiplier/delivery_fee/plot_when_disabled,plot_when_disabled,NA,default - N/A,default - N/A,No adjustment needed,default - N/A,No adjustment needed,default - N/A,No adjustment needed
,,,,,,,,,,,
,Demand incentives Pause,campaigns_bypassing/busy_ratio_threshold,busy_ratio,08-Apr-26,1.1,1.2,Update,1.15,Update for bad weather,1.10,Update for bad weather
,,,,,,,,,,,
,Other settings to optimize,availability/set_courier_offline_on_did_not_respond,set_courier_offline_on_did_not_respond,29-Jun-22,TRUE,TRUE,No adjustment needed,TRUE,No adjustment needed,TRUE,No adjustment needed
,,courier_history_order_settings/show_courier_waiting_at_provider_compensation,show_courier_waiting_at_provider_compensation,NA,default - TRUE,default - TRUE,No adjustment needed,default - TRUE,No adjustment needed,default - TRUE,No adjustment needed
,,eta_settings/parking_buffer_seconds/bicycle,parking_buffer_seconds/bicycle,11-Oct-24,0,0,No adjustment needed,0,No adjustment needed,0,No adjustment needed
,,eta_settings/parking_buffer_seconds/car,parking_buffer_seconds/car,11-Oct-24,90,90,No adjustment needed,90,No adjustment needed,90,No adjustment needed
,,eta_settings/parking_buffer_seconds/motorbike,parking_buffer_seconds/motorbike,11-Oct-22,60,60,No adjustment needed,60,No adjustment needed,60,No adjustment needed
,,matching_settings/matching_distance_limit_km/bicycle,matching_distance_limit_km - bicycle,06-Oct-25,4,4,No adjustment needed,4,No adjustment needed,4,No adjustment needed
,,matching_settings/matching_distance_limit_km/car,matching_distance_limit_km - car,06-Oct-25,17,17,No adjustment needed,17,No adjustment needed,17,No adjustment needed
,,matching_settings/matching_distance_limit_km/motorbike,matching_distance_limit_km - motorbike,06-Oct-25,17,17,No adjustment needed,17,No adjustment needed,17,No adjustment needed
,,matching_settings/matching_distance_limit_km/pedestrian,matching_distance_limit_km - pedestrian,16-Apr-25,2,2,No adjustment needed,2,No adjustment needed,2,No adjustment needed
,,matching_settings/matching_distance_limit_km/scooter,matching_distance_limit_km - scooter,NA,default - infinity,default - infinity,No adjustment needed,default - infinity,No adjustment needed,default - infinity,No adjustment needed
,,matching_settings/parallel/food/max_distance_courier_to_provider_km,parallel - max_distance_courier_to_provider_km,19-Nov-25,6,6,No adjustment needed,6,No adjustment needed,6,No adjustment needed
,,order_settings/arrival_distance_threshold_in_meters/eater_error,arrival_distance_threshold_in_meters - eater_error,07-Apr-26,400,200,Update,200,No adjustment needed,200,No adjustment needed
,,order_settings/arrival_distance_threshold_in_meters/eater_warning,arrival_distance_threshold_in_meters - eater_warning,07-Apr-26,300,100,Update,100,No adjustment needed,100,No adjustment needed
,,order_settings/arrival_distance_threshold_in_meters/provider_error,arrival_distance_threshold_in_meters - provider_error,07-Apr-26,400,200,Update,200,No adjustment needed,200,No adjustment needed
,,order_settings/arrival_distance_threshold_in_meters/provider_warning,arrival_distance_threshold_in_meters - provider_warning,07-Apr-26,300,100,Update,100,No adjustment needed,100,No adjustment needed
,,matching_settings/target_order_duration_seconds/pedestrian,target_order_duration_seconds/pedestrian,06-Oct-25,600,600,No adjustment needed,600,No adjustment needed,600,No adjustment needed
,,matching_settings/target_order_duration_seconds/bicycle,target_order_duration_seconds/bicycle,06-Oct-25,750,750,No adjustment needed,750,No adjustment needed,750,No adjustment needed
,,matching_settings/target_order_duration_seconds/scooter,target_order_duration_seconds/scooter,NA,default - 750,default - 750,No adjustment needed,default - 750,No adjustment needed,default - 750,No adjustment needed
,,matching_settings/target_order_duration_seconds/motorbike,target_order_duration_seconds/motorbike,06-Oct-25,1200,1200,No adjustment needed,1200,No adjustment needed,1200,No adjustment needed
,,matching_settings/target_order_duration_seconds/car,target_order_duration_seconds/car,16-Apr-25,1500,1500,No adjustment needed,1500,No adjustment needed,1500,No adjustment needed
,,matching_settings/max_long_delivery_prevention_duration_seconds,max_long_delivery_prevention_duration_seconds,06-Oct-25,420,420,No adjustment needed,420,No adjustment needed,420,No adjustment needed
,,,,,,,,,,,
,ETA inflation,eta_settings/eta_inflation/dynamic_radius_max,dynamic_radius_max,08-Apr-26,3000,4000,Update,3500,Update for bad weather,3000,Update for bad weather
,,eta_settings/eta_inflation/eta_multiplier_max,eta_multiplier_max,14-Jan-26,1.3,1.3,No adjustment needed,1.3,No adjustment needed,1.3,No adjustment needed
,,eta_settings/eta_inflation/base_radius,base_radius,08-Apr-26,1000,2000,Update,2000,No adjustment needed,1000,Update for bad weather
,,eta_settings/eta_inflation/is_enabled,is_enabled,14-Jan-26,TRUE,TRUE,No adjustment needed,TRUE,No adjustment needed,TRUE,No adjustment needed
,,eta_settings/eta_inflation/busy_ratio_max,busy_ratio_max,15-Feb-26,1.5,1.5,No adjustment needed,1.5,No adjustment needed,1.5,No adjustment needed
,,eta_settings/eta_inflation/busy_ratio_min,busy_ratio_min,15-Feb-26,0.9,0.9,No adjustment needed,0.9,No adjustment needed,0.9,No adjustment needed
,,eta_settings/eta_inflation/eta_multiplier_min,eta_multiplier_min,08-Apr-26,1.3,1.1,Update,1.1,No adjustment needed,1.3,Update for bad weather